iter	Passed	Remaining
404	4916	7222
405	4917	7194
406	4919	7167
407	4920	7139
408	4921	7112
409	4923	7085
410	4925	7058
411	4927	7032
412	4928	7005
413	4930	6979
414	4932	6952
415	4933	6925
416	4935	6899
417	4936	6873
418	4938	6847
419	4939	6821
420	4941	6796
421	4943	6770
422	4944	6745
423	4969	6750
424	4970	6725
425	4972	6699
426	4973	6674
427	4975	6648
428	4976	6623
429	4977	6598
430	4979	6573
431	4980	6548
432	4981	6523
433	4983	6499
434	4984	6474
435	4986	6449
436	4987	6425
437	4988	6401
438	4990	6376
439	4991	6352
440	4993	6329
441	4994	6305
442	4996	6281
443	4997	6258
444	4999	6235
445	5000	6211
446	5001	6187
447	5003	6164
448	5004	6141
449	5006	6118
450	5007	6095
451	5008	6072
452	5010	6049
453	5011	6027
454	5013	6004
455	5014	5982
456	5016	5959
457	5017	5937
458	5019	5916
459	5021	5894
460	5022	5872
461	5024	5850
462	5025	5828
463	5027	5807
464	5028	5785
465	5030	5764
466	5031	5742
467	5033	5721
468	5034	5700
469	5036	5678
470	5037	5657
471	5039	5636
472	5040	5615
473	5041	5594
474	5043	5573
475	5044	5553
476	5046	5532
477	5047	5511
478	5048	5491
479	5050	5470
480	5051	5450
481	5052	5430
482	5053	5409
483	5055	5389
484	5057	5370
485	5058	5350
486	5059	5329
487	5061	5310
488	5062	5290
489	5063	5270
490	5065	5250
491	5066	5231
492	5068	5211
493	5069	5192
494	5071	5174
495	5073	5155
496	5074	5136
497	5076	5117
498	5077	5098
499	5079	5079
500	5080	5060
501	5082	5041
502	5083	5022
503	5084	5004
504	5086	4985
505	5087	4966
506	5088	4948
507	5090	4930
508	5091	4911
509	5093	4893
510	5094	4875
511	5096	4857
512	5097	4839
513	5099	4821
514	5100	4803
515	5101	4785
516	5103	4768
517	5105	4750
518	5106	4732
519	5108	4715
520	5109	4697
521	5110	4679
522	5112	4662
523	5113	4645
524	5114	4627
525	5116	4610
526	5117	4593
527	5118	4575
528	5119	4558
529	5121	4541
530	5122	4524
531	5123	4507
532	5125	4490
533	5126	4474
534	5128	4457
535	5129	4440
536	5131	4424
537	5132	4407
538	5134	4391
539	5135	4374
540	5137	4358
541	5138	4342
542	5140	4326
543	5142	4310
544	5143	4294
545	5145	4278
546	5146	4262
547	5148	4246
548	5149	4230
549	5150	4214
550	5152	4198
551	5153	4182
552	5154	4166
553	5156	4151
554	5157	4135
